input_centroid_67_y 65.1109
input_centroid_67_id 2135
input_centroid_68_x 418.44
input_centroid_68_y 355.073
input_centroid_68_id 2133
input_centroid_69_x 419.755
input_centroid_69_y 80.9149
input_centroid_69_id 2130
input_centroid_70_x 426.506
input_centroid_70_y 423.318
input_centroid_70_id 2124
input_centroid_71_x 443.846
input_centroid_71_y 851.544
input_centroid_71_id 2113
input_centroid_72_x 455.706
input_centroid_72_y 317.428
input_centroid_72_id 2099
input_centroid_73_x 454.706
input_centroid_73_y 727.909
input_centroid_73_id 2103
input_centroid_74_x 458.381
input_centroid_74_y 684.631
input_centroid_74_id 2100
input_centroid_75_x 481.281
input_centroid_75_y 64.6124
input_centroid_75_id 2063
input_centroid_76_x 482.26
input_centroid_76_y 904.821
input_centroid_76_id 2070
input_centroid_77_x 488.305
input_centroid_77_y 79.5848
input_centroid_77_id 2052
input_centroid_78_x 485.775
input_centroid_78_y 498.405
input_centroid_78_id 2061
input_centroid_79_x 492.861
input_centroid_79_y 61.1094
input_centroid_79_id 2047
input_centroid_80_x 508.972
input_centroid_80_y 271.568
input_centroid_80_id 2033
input_centroid_81_x 508.319
input_centroid_81_y 684.048
input_centroid_81_id 2037
input_centroid_82_x 517.408
input_centroid_82_y 1006.81
input_centroid_82_id 2031
input_centroid_83_x 524.367
input_centroid_83_y 267.021
input_centroid_83_id 2016
input_centroid_84_x 524.546
input_centroid_84_y 678.351
input_centroid_84_id 2024
input_centroid_85_x 528.093
input_centroid_85_y 416.157
input_centroid_85_id 2014
input_centroid_86_x 532.043
input_centroid_86_y 322.899
input_centroid_86_id 2010
input_centroid_87_x 540.971
input_centroid_87_y 886.719
input_centroid_87_id 2007
input_centroid_88_x 545.116
input_centroid_88_y 530.172
input_centroid_88_id 1999
input_centroid_89_x 546.937
input_centroid_89_y 280.697
input_centroid_89_id 1993
input_centroid_90_x 548.889
input_centroid_90_y 149.827
input_centroid_90_id 1990
input_centroid_91_x 550.923
input_centroid_91_y 260.73
input_centroid_91_id 1989
input_centroid_92_x 554.557
input_centroid_92_y 215.288
input_centroid_92_id 1985
input_centroid_93_x 554.243
input_centroid_93_y 427.751
input_centroid_93_id 1987
input_centroid_94_x 557.395
input_centroid_94_y 707.158
input_centroid_94_id 1988
input_centroid_95_x 570.053
input_centroid_95_y 611.81
input_centroid_95_id 1978
input_centroid_96_x 591.791
input_centroid_96_y 696.798
input_centroid_96_id 1963
input_centroid_97_x 598.82
input_centroid_97_y 190.493
input_centroid_97_id 1946
input_centroid_98_x 603.62
input_centroid_98_y 735.178
input_centroid_98_id 1955
input_centroid_99_x 606.019
input_centroid_99_y 784.977
input_centroid_99_id 1952
input_centroid_100_x 606.903
input_centroid_100_y 812.767
input_centroid_100_id 1948
input_centroid_101_x 608.242
input_centroid_101_y 843.032
input_centroid_101_id 1950
input_centroid_102_x 618.813
input_centroid_102_y 607.867
input_centroid_102_id 1934
input_centroid_103_x 627.258
input_centroid_103_y 29.1875
input_centroid_103_id 1910
input_centroid_104_x 624.031
input_centroid_104_y 996.388
input_centroid_104_id 1937
input_centroid_105_x 626.053
input_centroid_105_y 973.744
input_centroid_105_id 1933
input_centroid_106_x 624.079
input_centroid_106_y 835.338
input_centroid_106_id 1931
input_centroid_107_x 627.709
input_centroid_107_y 493.481
input_centroid_107_id 1920
input_centroid_108_x 633.081
input_centroid_108_y 172.513
input_centroid_108_id 1905
input_centroid_109_x 635.915
input_centroid_109_y 951.397
input_centroid_109_id 1918
input_centroid_110_x 636.477
